tier,toolbox,spec,attempts,hits,one_in
triple,train,naked-triple+w-wing:2,205000,157,1305
triple,train,naked-pair+hidden-pair+xy-wing,205000,156,1314
triple,train,naked-pair:2+x-wing,205000,148,1385
triple,train,naked-pair+x-wing+xyz-wing,205000,141,1453
triple,train,x-wing+xyz-wing+w-wing,205000,130,1576
triple,train,hidden-pair+xyz-wing+w-wing,205000,123,1666
triple,train,xyz-wing:3,205000,123,1666
triple,train,naked-pair+swordfish+xy-wing,205000,121,1694
triple,train,swordfish+xy-wing:2,205000,120,1708
triple,train,x-wing:2+xy-wing,205000,118,1737
triple,train,swordfish+w-wing:2,205000,106,1933
triple,train,naked-pair+hidden-pair:2,205000,103,1990
triple,train,naked-pair+swordfish+w-wing,205000,90,2277
triple,train,hidden-pair+xy-wing+xyz-wing,205000,89,2303
triple,train,swordfish+xy-wing+w-wing,205000,65,3153
triple,train,x-wing+xyz-wing:2,205000,65,3153
triple,train,x-wing:2+w-wing,205000,64,3203
triple,train,naked-pair:2+hidden-pair,205000,61,3360
triple,train,naked-triple+xy-wing+w-wing,205000,56,3660
triple,train,hidden-pair:2+xyz-wing,205000,53,3867
triple,train,naked-triple+xy-wing:2,205000,53,3867
triple,train,naked-triple+x-wing+xy-wing,205000,52,3942
triple,train,hidden-pair+swordfish+xy-wing,205000,51,4019
triple,train,naked-pair+hidden-pair+xyz-wing,205000,50,4100
triple,train,hidden-triple+w-wing:2,205000,49,4183
triple,train,swordfish+xy-wing+xyz-wing,205000,49,4183
triple,train,hidden-pair+x-wing+xyz-wing,205000,47,4361
triple,train,naked-pair+naked-triple+w-wing,205000,47,4361
triple,train,hidden-pair+swordfish+w-wing,205000,44,4659
triple,train,naked-triple+x-wing+w-wing,205000,42,4880
triple,train,naked-pair+swordfish+xyz-wing,205000,41,5000
triple,train,hidden-pair+xyz-wing:2,205000,40,5125
triple,train,naked-pair:2+swordfish,205000,40,5125
triple,train,swordfish+xyz-wing+w-wing,205000,37,5540
triple,train,hidden-triple+xy-wing:2,205000,33,6212
triple,train,hidden-pair:2+x-wing,205000,32,6406
triple,train,hidden-triple+xy-wing+w-wing,205000,31,6612
triple,train,naked-pair+naked-triple+xy-wing,300000,44,6818
triple,train,hidden-pair+naked-triple+w-wing,210000,30,7000
triple,train,naked-pair+x-wing:2,300000,38,7894
triple,train,naked-triple+xyz-wing+w-wing,300000,38,7894
triple,train,naked-pair+hidden-pair+x-wing,300000,35,8571
triple,train,naked-triple:2+w-wing,300000,34,8823
triple,train,hidden-pair+swordfish+xyz-wing,300000,33,9090
triple,train,x-wing:2+xyz-wing,300000,32,9375
triple,train,hidden-pair+naked-triple+xy-wing,300000,30,10000
triple,train,hidden-triple+x-wing+w-wing,300000,30,10000
triple,train,swordfish+xyz-wing:2,400000,38,10526
triple,train,naked-triple+xy-wing+xyz-wing,400000,35,11428
triple,train,naked-triple:2+xy-wing,400000,33,12121
triple,train,hidden-triple+x-wing+xy-wing,400000,32,12500
triple,train,hidden-pair+hidden-triple+w-wing,400000,31,12903
triple,train,x-wing+swordfish+xy-wing,400000,27,14814
triple,train,naked-triple+swordfish+xy-wing,400000,25,16000
triple,train,hidden-triple+xy-wing+xyz-wing,400000,23,17391
triple,train,hidden-pair+x-wing:2,400000,22,18181
triple,train,naked-quad+w-wing:2,400000,22,18181
triple,train,naked-pair+jellyfish+xy-wing,400000,21,19047
triple,train,hidden-triple+xyz-wing+w-wing,400000,20,20000
triple,train,hidden-pair:2+swordfish,400000,19,21052
triple,train,naked-pair+hidden-triple+w-wing,400000,18,22222
triple,train,naked-triple+x-wing+xyz-wing,400000,18,22222
triple,train,hidden-pair:2+naked-triple,400000,17,23529
triple,train,naked-triple+swordfish+w-wing,400000,17,23529
triple,train,jellyfish+w-wing:2,400000,15,26666
triple,train,hidden-pair+hidden-triple+xy-wing,400000,14,28571
triple,train,jellyfish+xy-wing:2,400000,13,30769
triple,train,naked-pair+jellyfish+w-wing,400000,13,30769
triple,train,hidden-triple:2+w-wing,400000,12,33333
triple,train,hidden-pair+naked-triple:2,400000,11,36363
triple,train,naked-pair+naked-triple+xyz-wing,400000,11,36363
triple,train,swordfish:2+xy-wing,400000,11,36363
triple,train,hidden-pair+naked-triple+xyz-wing,400000,10,40000
triple,train,hidden-triple+swordfish+w-wing,400000,10,40000
triple,train,naked-pair+hidden-pair+swordfish,400000,10,40000
triple,train,naked-pair:2+naked-triple,400000,10,40000
triple,train,naked-triple+xyz-wing:2,400000,10,40000
triple,train,naked-triple:3,400000,10,40000
triple,train,x-wing+swordfish+w-wing,400000,10,40000
triple,train,hidden-triple+x-wing+xyz-wing,400000,9,44444
triple,train,jellyfish+xy-wing+xyz-wing,400000,9,44444
triple,train,naked-pair+hidden-triple+xy-wing,400000,9,44444
triple,train,naked-pair+naked-triple+x-wing,400000,9,44444
triple,train,naked-triple:2+x-wing,400000,9,44444
triple,train,hidden-pair+jellyfish+xy-wing,400000,8,50000
triple,train,hidden-pair+naked-triple+x-wing,400000,8,50000
triple,train,naked-quad+x-wing+w-wing,400000,8,50000
triple,train,naked-quad+x-wing+xy-wing,400000,8,50000
triple,train,x-wing+swordfish+xyz-wing,400000,8,50000
triple,train,x-wing:3,400000,8,50000
triple,train,naked-pair+hidden-pair+naked-triple,400000,7,57142
triple,train,naked-pair+naked-triple:2,400000,7,57142
triple,train,naked-pair+x-wing+swordfish,400000,7,57142
triple,train,naked-quad+xy-wing+w-wing,400000,7,57142
triple,train,naked-triple+hidden-triple+w-wing,400000,7,57142
triple,train,naked-triple+x-wing:2,400000,7,57142
triple,train,hidden-triple+xyz-wing:2,400000,6,66666
triple,train,hidden-pair+x-wing+swordfish,400000,5,80000
triple,train,hidden-pair:2+hidden-triple,400000,5,80000
triple,train,hidden-triple+swordfish+xy-wing,400000,5,80000
triple,train,naked-triple+swordfish+xyz-wing,400000,5,80000
triple,train,naked-triple:2+xyz-wing,400000,5,80000
triple,train,swordfish:2+w-wing,400000,5,80000
triple,train,swordfish:2+xyz-wing,400000,5,80000
triple,train,hidden-pair+hidden-triple+xyz-wing,400000,4,100000
triple,train,hidden-pair+jellyfish+w-wing,400000,4,100000
triple,train,jellyfish+xy-wing+w-wing,400000,4,100000
triple,train,naked-pair+hidden-triple+xyz-wing,400000,4,100000
triple,train,naked-pair+naked-quad+w-wing,400000,4,100000
triple,train,naked-quad+xy-wing+xyz-wing,400000,4,100000
triple,train,naked-quad+xy-wing:2,400000,4,100000
triple,train,naked-quad+xyz-wing+w-wing,400000,4,100000
triple,train,hidden-pair+hidden-triple:2,400000,3,133333
triple,train,jellyfish+xyz-wing+w-wing,400000,3,133333
triple,train,naked-pair+jellyfish+xyz-wing,400000,3,133333
triple,train,naked-triple+hidden-triple+xy-wing,400000,3,133333
triple,train,naked-triple:2+swordfish,400000,3,133333
triple,train,hidden-pair+jellyfish+xyz-wing,400000,2,200000
triple,train,hidden-triple+naked-quad+w-wing,400000,2,200000
triple,train,hidden-triple+x-wing:2,400000,2,200000
triple,train,hidden-triple:2+xy-wing,400000,2,200000
triple,train,jellyfish+xyz-wing:2,400000,2,200000
triple,train,naked-pair+naked-triple+swordfish,400000,2,200000
triple,train,naked-pair+swordfish:2,400000,2,200000
triple,train,naked-triple+jellyfish+w-wing,400000,2,200000
triple,train,x-wing+jellyfish+xy-wing,400000,2,200000
triple,train,hidden-pair:2+jellyfish,500000,2,250000
triple,train,hidden-pair+naked-triple+swordfish,700000,2,350000
triple,train,hidden-pair+hidden-triple+x-wing,400000,1,400000
triple,train,hidden-pair+naked-quad+w-wing,400000,1,400000
triple,train,hidden-pair+naked-triple+hidden-triple,400000,1,400000
triple,train,hidden-triple+jellyfish+w-wing,400000,1,400000
triple,train,hidden-triple+naked-quad+xy-wing,400000,1,400000
triple,train,hidden-triple+swordfish+xyz-wing,400000,1,400000
triple,train,hidden-triple+x-wing+swordfish,400000,1,400000
triple,train,hidden-triple:2+x-wing,400000,1,400000
triple,train,hidden-triple:2+xyz-wing,400000,1,400000
triple,train,naked-pair+hidden-triple:2,400000,1,400000
triple,train,naked-pair:2+jellyfish,400000,1,400000
triple,train,naked-quad+swordfish+xy-wing,400000,1,400000
triple,train,naked-quad+x-wing:2,400000,1,400000
triple,train,naked-triple+hidden-triple+xyz-wing,400000,1,400000
triple,train,naked-triple+hidden-triple:2,400000,1,400000
triple,train,naked-triple+jellyfish+xy-wing,400000,1,400000
triple,train,naked-triple+naked-quad+xy-wing,400000,1,400000
triple,train,swordfish+jellyfish+xyz-wing,400000,1,400000
triple,train,x-wing+jellyfish+w-wing,400000,1,400000
triple,train,x-wing+jellyfish+xyz-wing,400000,1,400000
triple,train,naked-pair+hidden-pair+hidden-triple,500000,1,500000
triple,train,naked-pair+hidden-pair+jellyfish,500000,1,500000
triple,train,naked-triple+x-wing+swordfish,500000,1,500000
triple,train,hidden-quad+x-wing+w-wing,600000,1,600000
triple,train,hidden-triple+jellyfish+xy-wing,600000,1,600000
triple,train,naked-pair+naked-quad+xy-wing,600000,1,600000
triple,train,naked-quad+swordfish+xyz-wing,600000,1,600000
triple,train,naked-pair+hidden-triple+x-wing,700000,1,700000
triple,train,naked-pair+naked-triple+hidden-triple,700000,1,700000
triple,train,swordfish+jellyfish+xy-wing,700000,1,700000
triple,train,hidden-pair+hidden-triple+swordfish,800000,1,800000
triple,train,naked-pair+hidden-triple+swordfish,800000,1,800000
triple,train,naked-triple+naked-quad+w-wing,800000,1,800000
triple,train,hidden-pair+naked-quad+x-wing,1000000,1,1000000
triple,train,hidden-pair+naked-quad+xy-wing,1000000,1,1000000
triple,train,hidden-quad+xy-wing:2,1000000,1,1000000
triple,train,hidden-triple:3,1000000,1,1000000
triple,train,naked-pair:2+hidden-triple,1000000,1,1000000
triple,train,naked-quad+swordfish+w-wing,1000000,1,1000000
triple,train,hidden-pair+swordfish:2,1300000,1,1300000
triple,train,hidden-quad+x-wing+xy-wing,1300000,1,1300000
triple,train,naked-pair+naked-quad+swordfish,1300000,1,1300000
triple,train,naked-quad+x-wing+xyz-wing,1300000,1,1300000
triple,train,naked-quad+xyz-wing:2,1300000,1,1300000
triple,train,hidden-pair+hidden-quad+jellyfish,1300000,0,
triple,train,hidden-pair+hidden-quad+swordfish,1300000,0,
triple,train,hidden-pair+hidden-quad+w-wing,1300000,0,
triple,train,hidden-pair+hidden-quad+x-wing,1300000,0,
triple,train,hidden-pair+hidden-quad+xy-wing,1300000,0,
triple,train,hidden-pair+hidden-quad+xyz-wing,1300000,0,
triple,train,hidden-pair+hidden-quad:2,1300000,0,
triple,train,hidden-pair+hidden-triple+hidden-quad,1300000,0,
triple,train,hidden-pair+hidden-triple+jellyfish,1300000,0,
triple,train,hidden-pair+hidden-triple+naked-quad,1300000,0,
triple,train,hidden-pair+jellyfish:2,1300000,0,
triple,train,hidden-pair+naked-quad+hidden-quad,1300000,0,
triple,train,hidden-pair+naked-quad+jellyfish,1300000,0,
triple,train,hidden-pair+naked-quad+swordfish,1300000,0,
triple,train,hidden-pair+naked-quad+xyz-wing,1300000,0,
triple,train,hidden-pair+naked-quad:2,1300000,0,
triple,train,hidden-pair+naked-triple+hidden-quad,1300000,0,
triple,train,hidden-pair+naked-triple+jellyfish,1300000,0,
triple,train,hidden-pair+naked-triple+naked-quad,1300000,0,
triple,train,hidden-pair+swordfish+jellyfish,1300000,0,
triple,train,hidden-pair+x-wing+jellyfish,1300000,0,
triple,train,hidden-pair:2+hidden-quad,1300000,0,
triple,train,hidden-pair:2+naked-quad,1300000,0,
triple,train,hidden-quad+jellyfish+w-wing,1300000,0,
triple,train,hidden-quad+jellyfish+xy-wing,1300000,0,
triple,train,hidden-quad+jellyfish+xyz-wing,1300000,0,
triple,train,hidden-quad+jellyfish:2,1300000,0,
triple,train,hidden-quad+swordfish+jellyfish,1300000,0,
triple,train,hidden-quad+swordfish+w-wing,1300000,0,
triple,train,hidden-quad+swordfish+xy-wing,1300000,0,
triple,train,hidden-quad+swordfish+xyz-wing,1300000,0,
triple,train,hidden-quad+swordfish:2,1300000,0,
triple,train,hidden-quad+w-wing:2,1300000,0,
triple,train,hidden-quad+x-wing+jellyfish,1300000,0,
triple,train,hidden-quad+x-wing+swordfish,1300000,0,
triple,train,hidden-quad+x-wing+xyz-wing,1300000,0,
triple,train,hidden-quad+x-wing:2,1300000,0,
triple,train,hidden-quad+xy-wing+w-wing,1300000,0,
triple,train,hidden-quad+xy-wing+xyz-wing,1300000,0,
triple,train,hidden-quad+xyz-wing+w-wing,1300000,0,
triple,train,hidden-quad+xyz-wing:2,1300000,0,
triple,train,hidden-quad:2+jellyfish,1300000,0,
triple,train,hidden-quad:2+swordfish,1300000,0,
triple,train,hidden-quad:2+w-wing,1300000,0,
triple,train,hidden-quad:2+x-wing,1300000,0,
triple,train,hidden-quad:2+xy-wing,1300000,0,
triple,train,hidden-quad:2+xyz-wing,1300000,0,
triple,train,hidden-quad:3,1300000,0,
triple,train,hidden-triple+hidden-quad+jellyfish,1300000,0,
triple,train,hidden-triple+hidden-quad+swordfish,1300000,0,
triple,train,hidden-triple+hidden-quad+w-wing,1300000,0,
triple,train,hidden-triple+hidden-quad+x-wing,1300000,0,
triple,train,hidden-triple+hidden-quad+xy-wing,1300000,0,
triple,train,hidden-triple+hidden-quad+xyz-wing,1300000,0,
triple,train,hidden-triple+hidden-quad:2,1300000,0,
triple,train,hidden-triple+jellyfish+xyz-wing,1300000,0,
triple,train,hidden-triple+jellyfish:2,1300000,0,
triple,train,hidden-triple+naked-quad+hidden-quad,1300000,0,
triple,train,hidden-triple+naked-quad+jellyfish,1300000,0,
triple,train,hidden-triple+naked-quad+swordfish,1300000,0,
triple,train,hidden-triple+naked-quad+x-wing,1300000,0,
triple,train,hidden-triple+naked-quad+xyz-wing,1300000,0,
triple,train,hidden-triple+naked-quad:2,1300000,0,
triple,train,hidden-triple+swordfish+jellyfish,1300000,0,
triple,train,hidden-triple+swordfish:2,1300000,0,
triple,train,hidden-triple+x-wing+jellyfish,1300000,0,
triple,train,hidden-triple:2+hidden-quad,1300000,0,
triple,train,hidden-triple:2+jellyfish,1300000,0,
triple,train,hidden-triple:2+naked-quad,1300000,0,
triple,train,hidden-triple:2+swordfish,1300000,0,
triple,train,jellyfish:2+w-wing,1300000,0,
triple,train,jellyfish:2+xy-wing,1300000,0,
triple,train,jellyfish:2+xyz-wing,1300000,0,
triple,train,jellyfish:3,1300000,0,
triple,train,naked-pair+hidden-pair+hidden-quad,1300000,0,
triple,train,naked-pair+hidden-pair+naked-quad,1300000,0,
triple,train,naked-pair+hidden-quad+jellyfish,1300000,0,
triple,train,naked-pair+hidden-quad+swordfish,1300000,0,
triple,train,naked-pair+hidden-quad+w-wing,1300000,0,
triple,train,naked-pair+hidden-quad+x-wing,1300000,0,
triple,train,naked-pair+hidden-quad+xy-wing,1300000,0,
triple,train,naked-pair+hidden-quad+xyz-wing,1300000,0,
triple,train,naked-pair+hidden-quad:2,1300000,0,
triple,train,naked-pair+hidden-triple+hidden-quad,1300000,0,
triple,train,naked-pair+hidden-triple+jellyfish,1300000,0,
triple,train,naked-pair+hidden-triple+naked-quad,1300000,0,
triple,train,naked-pair+jellyfish:2,1300000,0,
triple,train,naked-pair+naked-quad+hidden-quad,1300000,0,
triple,train,naked-pair+naked-quad+jellyfish,1300000,0,
triple,train,naked-pair+naked-quad+x-wing,1300000,0,
triple,train,naked-pair+naked-quad+xyz-wing,1300000,0,
triple,train,naked-pair+naked-quad:2,1300000,0,
triple,train,naked-pair+naked-triple+hidden-quad,1300000,0,
triple,train,naked-pair+naked-triple+jellyfish,1300000,0,
triple,train,naked-pair+naked-triple+naked-quad,1300000,0,
triple,train,naked-pair+swordfish+jellyfish,1300000,0,
triple,train,naked-pair+x-wing+jellyfish,1300000,0,
triple,train,naked-pair:2+hidden-quad,1300000,0,
triple,train,naked-pair:2+naked-quad,1300000,0,
triple,train,naked-quad+hidden-quad+jellyfish,1300000,0,
triple,train,naked-quad+hidden-quad+swordfish,1300000,0,
triple,train,naked-quad+hidden-quad+w-wing,1300000,0,
triple,train,naked-quad+hidden-quad+x-wing,1300000,0,
triple,train,naked-quad+hidden-quad+xy-wing,1300000,0,
triple,train,naked-quad+hidden-quad+xyz-wing,1300000,0,
triple,train,naked-quad+hidden-quad:2,1300000,0,
triple,train,naked-quad+jellyfish+w-wing,1300000,0,
triple,train,naked-quad+jellyfish+xy-wing,1300000,0,
triple,train,naked-quad+jellyfish+xyz-wing,1300000,0,
triple,train,naked-quad+jellyfish:2,1300000,0,
triple,train,naked-quad+swordfish+jellyfish,1300000,0,
triple,train,naked-quad+swordfish:2,1300000,0,
triple,train,naked-quad+x-wing+jellyfish,1300000,0,
triple,train,naked-quad+x-wing+swordfish,1300000,0,
triple,train,naked-quad:2+hidden-quad,1300000,0,
triple,train,naked-quad:2+jellyfish,1300000,0,
triple,train,naked-quad:2+swordfish,1300000,0,
triple,train,naked-quad:2+w-wing,1300000,0,
triple,train,naked-quad:2+x-wing,1300000,0,
triple,train,naked-quad:2+xy-wing,1300000,0,
triple,train,naked-quad:2+xyz-wing,1300000,0,
triple,train,naked-quad:3,1300000,0,
triple,train,naked-triple+hidden-quad+jellyfish,1300000,0,
triple,train,naked-triple+hidden-quad+swordfish,1300000,0,
triple,train,naked-triple+hidden-quad+w-wing,1300000,0,
triple,train,naked-triple+hidden-quad+x-wing,1300000,0,
triple,train,naked-triple+hidden-quad+xy-wing,1300000,0,
triple,train,naked-triple+hidden-quad+xyz-wing,1300000,0,
triple,train,naked-triple+hidden-quad:2,1300000,0,
triple,train,naked-triple+hidden-triple+hidden-quad,1300000,0,
triple,train,naked-triple+hidden-triple+jellyfish,1300000,0,
triple,train,naked-triple+hidden-triple+naked-quad,1300000,0,
triple,train,naked-triple+hidden-triple+swordfish,1300000,0,
triple,train,naked-triple+hidden-triple+x-wing,1300000,0,
triple,train,naked-triple+jellyfish+xyz-wing,1300000,0,
triple,train,naked-triple+jellyfish:2,1300000,0,
triple,train,naked-triple+naked-quad+hidden-quad,1300000,0,
triple,train,naked-triple+naked-quad+jellyfish,1300000,0,
triple,train,naked-triple+naked-quad+swordfish,1300000,0,
triple,train,naked-triple+naked-quad+x-wing,1300000,0,
triple,train,naked-triple+naked-quad+xyz-wing,1300000,0,
triple,train,naked-triple+naked-quad:2,1300000,0,
triple,train,naked-triple+swordfish+jellyfish,1300000,0,
triple,train,naked-triple+swordfish:2,1300000,0,
triple,train,naked-triple+x-wing+jellyfish,1300000,0,
triple,train,naked-triple:2+hidden-quad,1300000,0,
triple,train,naked-triple:2+hidden-triple,1300000,0,
triple,train,naked-triple:2+jellyfish,1300000,0,
triple,train,naked-triple:2+naked-quad,1300000,0,
triple,train,swordfish+jellyfish+w-wing,1300000,0,
triple,train,swordfish+jellyfish:2,1300000,0,
triple,train,swordfish:2+jellyfish,1300000,0,
triple,train,swordfish:3,1300000,0,
triple,train,x-wing+jellyfish:2,1300000,0,
triple,train,x-wing+swordfish+jellyfish,1300000,0,
triple,train,x-wing+swordfish:2,1300000,0,
triple,train,x-wing:2+jellyfish,1300000,0,
triple,train,x-wing:2+swordfish,1300000,0,
